corpus: preloaded/bawe2
subcorpus: -
size: 1638
query: Query:[lc="run" | lemma_lc="run"]
Reference,Sentence
Essay | , as society attributes status to women through motherhood in these discourses. </s><s> Consequently these cultural ideas running through society influence and combine with personal, economic and social factors to create a complex combination of 
Essay | Ukranian and Belorussian minorities in decision-making of their lot, even though Poland's border with Russia came to run 'far to the east of that originally suggested by Lord Curzon' during the Versailles conference. Piłsudski's ideal of a 
Essay | , pp. 238-9. </s><s> The various examples of Eastern European reveal a diverse range of political situations in the period running up to May 1945. </s><s> In the Polish case, Stalin's hopes for a post-war accommodation with the Sikorski government were 
Essay | and Szelényi, The Intellectuals, p. 227. </s><s> Connor, 'Social Change and Stability in Eastern Europe', p. 32. </s><s> The decade running up to the strikes of saw an increasingly untenable paradoxical situation. </s><s> According to Marxist thinking, communism 
Essay | that eventually led them to virtually abandon any techniques of persuasion (Pugh 2000). </s><s> The years in the run towards World War I resulted in the most passionate outbursts of the suffragettes attack upon male domination of the 
Essay | standard of living. </s><s> Carey represents a wider metonym for contemporary American middle-class families who, having run up large debts, became trapped in the net of the bourgeois milieu. </s><s> Whyte, The Organization Man, p. 14. </s><s> 29 The Incredible 
Essay | for testifying against Robert Oppenheimer, who called for nuclear restraint and internationalism, Teller ran with a more military crowd, becoming the darling of conservative thinkers for his advocacy of American scientific 
Essay | having some modernising classes such as industrialists, foreigners and intelligentsia. </s><s> Politically, Russia was run by a single autocratic monarch, seen as ordained by God. </s><s> Democracy was seen as an evil the Russian people ought to be 
Essay | , Stalin; A Political Biography, (Oxford, 1949), p228. </s><s> Walter Duranty, Stalin and Co. </s><s> The Politburo; The Men who Ran Russia, (London, 1949), p.10. </s><s> Christopher Read, The Making and Breaking of the Soviet System, (Hampshire, 2001), 
Essay | the annihilations. </s><s> As Wyman notes, in the case of the Holocaust 'seventeen months of systematic, cold-blooded murder ran their course between the time the Einsatzgruppen were turned loose on the Russian front, in June 1941, and the day in 
Essay | a significance has been placed on the impact of the Black Death. </s><s> Philip Ziegler, for example, argues that 'in the long run things would have followed the same course, even though there had never been a plague'. </s><s> Herlihy, David, The Black Death 
Essay | of the maturing sun; Conspiring with him how to load and bless With fruit the vines that round the thatch-eves run , <s> Keats, John, 'To Autumn' Odes of 1819 by John Keats, (21 December 2003) </s><s> contains no allusions to the divine. </s><s> Nature 
Critique | 8a) - The mechanism was nearly identical to the turbocharger, the major difference was the power supplies in order to run the air compressor. </s><s> In supercharger, a belt was connected directly to the engine and power was transmitted via the belt 
Critique | and power was transmitted via the belt. </s><s> For turbocharger, power was obtained from exhaust stream since the exhaust run through a turbine which in turn the compressor was span. </s><s> A graph was shown the variation of power with rpm with and 
Critique | the heat to air. </s><s> 4. </s><s> Carburetor - The right amount of gasoline with air could be mixed so that the engine could run properly. </s> Designs of racing engines <s> In an internal combustion engine with multiple (more than one) cylinders, the 
Critique | to its simple shapes it would be relatively easy for it to be fitted into the car chassis with different positions and can run rather smoothly. </s><s> The disadvantage of in-line engines is that they are longer than V engines. </s><s> It will be hard to install 
Critique | of the engines was very important in Formula racing cars especially in Endurance racing since the car was required to run for a long period of time (typically 6 hours, 12 hours and 24 hours) over the runway course in order to test the engine's 
Design specification | possible gearbox housing could be constructed. </s> Requirements <s> The input of the meat slicer was a constant speed AC motor running at 1800 rev/min and delivering 1.2kW power. </s><s> A gearbox was connected to the motor in order to provide speed reduction and 
Design specification | computer program only offered a limited number of variables which meant the flexibility was limited even such program run normally. </s><s> Nevertheless, manual calculations enable a more flexible and reliable analysis during design process, 
Case study | Midland Metro is part of Centro (the corporate name for the West Midlands Passenger Transport Executive) and has been running since 1999 when its "Line One" opened. </s> One the Structure of the Industry <s> The public transport industry is one which 
Case study | or bus travel. </s><s> There are no providers of a network in direct competition with Centro; only a few isolated services are run by smaller firms. </s><s> Centro does have a monopoly in the region for light railway systems and also for West Midlands public 
Case study | more widely. </s><s> This is an email response from Pete's Travel </s> "Some contracts are tendered by Centro... others are run commercially which is at the operator's discretion. Contracted routes can only be run if you won the tender."2 <s> Centro 
Case study | by Centro... others are run commercially which is at the operator's discretion. Contracted routes can only be run if you won the tender."2 <s> Centro has the power to restrict the number of companies that operate along any particular 
